Text,Label
"Btw, I’d rather hang with you than a crowd this Friday",Yes
What bus do you usually take? ✨,No
Please don’t forget to bring the tickets ✨,No
"Good night, do you want to come over next week?",Yes
"Lowkey, what time is the presentation tonight?",No
"Hi, I keep replaying our conversation in my head 😏",Yes
I feel like hanging out with you alone would be nice tomorrow 😅,Yes
Can you remind me about the assignment? 😌,No
"Hi, I’m making a group plan for Sunday, can you confirm?",No
"Good night, do you know if the campus is still open? 🤍",No
Do you want to come over later? ✨,Yes
"Hi, I’m craving a walk with you specifically",Yes
"Yo, I’m free after work. wanna do something together? 🙈",Yes
Do you wanna get food after this? just you and me,Yes
Can you check if my submission is correct? 🙂,No
"Yo, I’m curious… what would our first date be like? 🤍",Yes
"I’m running late, can you tell the squad?",No
The group chat is so noisy today 😅,No
"Hii, can you send me the meeting? 🙈",No
"Honestly, do you have the link for the tutorial?",No
"Heyy, I’m at the station, where are you?",No
"Lowkey, I want to see you Saturday 😄",Yes
Come with me to that new ramen place Sunday? just us 😅,Yes
"Let’s ramen somewhere chill, just us",Yes
"Good night, are you coming with the guys tonight?",No
Please don’t forget to bring the the key ✨,No
"Hey, what’s your availability for the group this week?",No
"Good night, I’m running late, can you tell the crew?",No
What’s the address for booking again?,No
"Good night, I’m not gonna lie, I get happy when you text me 😉",Yes
We should do something just the two of us after work,Yes
"Good night, come with me to that new ramen place Sunday? just us 😌",Yes
"Lowkey, I’ll see you at booking later",No
"Let’s coffee somewhere chill, just us 🙂",Yes
Wish you were here this Friday 🙈,Yes
You’re kinda my favourite person right now 😉,Yes
I’ve got a question about the meeting 😏,No
"Hey, I don’t want to say it too directly but… I like you",Yes
I’m free after class. wanna do something together?,Yes
"Heyy, did you finish the presentation?",No
Can we do a movie night? like… just us,Yes
Come with me to a late-night dessert spot after class? just us,Yes
Did you pay the bill for submission?,No
I kinda wanna hold your hand when we walk 🤍,Yes
I’ve got a question about the meeting,No
"Let’s a movie somewhere chill, just us",Yes
"Hey, I’ve got a question about the exam",No
"Hey, do you know if the restaurant is still open?",No
"Btw, what bus do you usually take? 🫶",No
Can you help me troubleshoot my laptop?,No
"Honestly, let me know when you’re free to study",No
What’s the address for event again?,No
"Yo, what are you doing this Friday? 😌",Yes
Do you know who’s bringing what Sunday? 😌,No
Can you grab me a pen on the way?,No
I was about to sleep but then I saw your message and smiled 🙂,Yes
Can we do a movie night? like… just us 🥺,Yes
Are you free Saturday? I kinda want to steal you for a late snack,Yes
Can you remind me about the notes?,No
Are you free tomorrow for a quick call about the deadline?,No
What’s the address for campus again?,No
Please don’t forget to bring the ice,No
"Hi, do you want to join our class for watch a movie this weekend?",No
"Btw, can I steal you from your friends for a bit tomorrow? 😅",Yes
"Hii, you should let me take you out next week",Yes
"Lowkey, are you joining the the crew call tomorrow? 🤍",No
"Hii, come with me to a movie theatre later? just us",Yes
"Hi, I wish I could teleport to you 😌",Yes
"Lowkey, do you have the link for the deadline? 😌",No
Did you pay the bill for shop? 😅,No
"Hii, I kinda wanna hold your hand when we walk 🤍",Yes
"Honestly, I keep replaying our conversation in my head 🙂",Yes
