Text,Label,label
if you were here you could help me move furniture,No,0.0
omg ok serious question… when are we hanging out just us,Yes,1.0
lol if you were here i’d be happier 🙃,Yes,1.0
What Time Is The Meeting Tomorrow? Lowkey Wanna Grab Coffee W You After,Yes,1.0
we should hang sometime… just saying 😂,Yes,1.0
you’re funny lol,No,0.0
tbh if you were here you could help me move furniture,No,0.0
i like your perspective on this 🥲,No,0.0
nah stop being so attractive 💀,Yes,1.0
YOU’RE A GOOD TEAMMATE,No,0.0
i like our talks,Yes,1.0
STOPPP YOU’RE MAKING ME SMILE...,Yes,1.0
omg don’t make me laugh in public,No,0.0
you’re trouble 😅,Yes,1.0
"I’M TRYING TO BE CHILL, WORK’S STRESSING ME OUT 😏",No,0.0
you’ve got good energy in meetings,No,0.0
omg are you available for a quick call?,No,0.0
"i’m not flirting, i’m just being nice!",No,0.0
What’S Your Eta? 😂,No,0.0
YOU FREE TONIGHT? JUST US 😏,Yes,1.0
bet Nice Work On The Presentation,No,0.0
Ngl I Miss You.. 🙏,Yes,1.0
that made my day (thanks for helping),No,0.0
ngl what’s your ETA?,No,0.0
I’M Trying To Focus But You’Re Distracting Me,Yes,1.0
tbh I’M TRYING TO FOCUS BUT YOU’RE DISTRACTING ME.. 🙂,Yes,1.0
"i like you. like, like you..",Yes,1.0
we should hang sometime with everyone,No,0.0
i should sleep but i wanna keep talking to you,Yes,1.0
idk DID YOU PAY THE BILL YET? ?!,No,0.0
let me know once it’s fixed 😭,No,0.0
Thanks For Jumping On That Quickly 🙃,No,0.0
lowkey i keep thinking about you lol,Yes,1.0
"bet i like you. like, like you",Yes,1.0
Ngl I Miss You ✨,Yes,1.0
What Time Is The Meeting Tomorrow? ✨,No,0.0
You’Re Kinda Becoming My Favourite Notification,Yes,1.0
if you were here i’d be happier,Yes,1.0
stop being so attractive,Yes,1.0
i’m fine 😌 just thinking about you a bit,Yes,1.0
ngl movie night? just you + me?!,Yes,1.0
NGL I MISS YOU?!,Yes,1.0
I’M GLAD WE TALK LIKE THIS 🙃,Yes,1.0
can you send me the slides later?,No,0.0
lmao you always message at the right time ✅,Yes,1.0
highkey i’m trying to focus but you’re distracting me,Yes,1.0
your feedback was really helpful?!,No,0.0
ngl don’t make me laugh in public,No,0.0
lol I’M Not Flirting… But ?? 🥲,Yes,1.0
What’S The Status On The Ticket?,No,0.0
Ngl I Miss You,Yes,1.0
ok serious question… when are we hanging out just us,Yes,1.0
YOU’RE DIFFERENT IN A GOOD WAY 💀,Yes,1.0
YOU’RE FUNNY LOL,No,0.0
great job today,No,0.0
bruh Can You Send Me The Slides Later? 💀,No,0.0
are you available for a quick call?,No,0.0
CAN YOU REVIEW THIS PR WHEN YOU GET A CHANCE? 👀,No,0.0
you’re making this convo dangerously fun,Yes,1.0
what time is the meeting tomorrow? lowkey wanna grab coffee w you after 😏,Yes,1.0
thanks for jumping on that quickly,No,0.0
Are You Available For A Quick Call?,No,0.0
