Text,Label
We’re all going to a walk around the city Saturday if you wanna come 🙈,No
"Hey, I don’t want to say it too directly but… I like you",Yes
"Lowkey, is the assignment due after class or Sunday? 😅",No
Can   you   check   if   my   presentation   is   correct?   😉,No
Can   you   grab   me   batteries   on   the   way?,No
"I’m   running   late,   can   you   tell   the   girls?",No
Can   you   remind   me   about   the   notes?,No
"Btw, can you remind me about the schedule? 🫶",No
Do   you   have   the   link   for   the   roster?   😊,No
"Good   night,   I’ve   got   a   question   about   the   schedule",No
"Btw, did you pay the bill for submission? ✨",No
Can you remind me about the project? 😅,No
"Good night, could you update the document when you get a chance?",No
"Do you have the link for the meeting?

",No
   What are you doing Sunday?   ,Yes
What time is the lunch order this weekend? 😄,No
"Honestly, I don’t really want a group thing, I want one-on-one 😏",Yes
"   Good night, did you pay the bill for shop? 🫶   ",No
i want u here rn,Yes
   Can you help me move Sunday?   ,No
"If you’re free after work, I want you to myself",Yes
"   Ngl, please don’t forget to bring the a charger   ",No
"Good morning, could you update the document when you get a chance?",No
"Do you want to join the girls for do karaoke this weekend? 😅

",No
Let’s invite the guys 😌,No
"I’m running late, can you tell everyone?",No
"Good   night,   did   you   pay   the   bill   for   campus?   😊",No
"   Lowkey, do you know if the event is still open?   ",No
I was hoping you’d ask me to hang out later,Yes
"Yo, do you know where our friends is meeting later?",No
,No
"Hey, do you know who’s bringing what after work? 😏",No
I’m craving a movie with you specifically,Yes
Our friends chat is so noisy today,No
"Btw, I’m not gonna lie, I get happy when you text me",Yes
What are you doing later?,Yes
"Btw, can you pick up drinks for everyone?",No
   Are you free later for a quick call about the notes?   ,No
"Lowkey, are you free Sunday? I kinda want to steal you for a drink 🤍",Yes
"Heyy, I’m so tired today 😄

",No
"Heyy, are you joining the the chat call after class?",No
"Btw, I’m making a group plan for this Friday, can you confirm?",No
"Btw,   the   team   chat   is   so   noisy   today   😏",No
"Hey, do you know if the restaurant is still open?

",No
"   I’m making a group plan for after work, can you confirm? 😉   ",No
Do you know if the submission is still open? 🥺,No
"Please don’t forget to bring the a charger

",No
"Are you coming with everyone Saturday?

",No
"Good night, I’ll see you at library this weekend",No
Can you send me the notes? 😄,No
Can you check if my campus is correct? 😉,No
"   Yo, can we do a movie night? like… just us   ",Yes
Let me know when you’re free to study 🥺,No
"Yo, please don’t forget to bring the drinks",No
We’re all going to a quiet cafe this Friday if you wanna come 🥺,No
I’m trying not to flirt but you’re making it hard,Yes
Did you finish the shift? 😊,No
"Btw, let’s invite everyone",No
we studying later,No
"   Yo, I’m so tired today 🙈   ",No
I’ve got a question about the project 🤍,No
Is the assignment due this weekend or after work? 😌,No
we all going later,No
"Hii, I’m curious… what would our first date be like?",Yes
"Btw, I’d rather hang with you than a crowd this weekend 🥺",Yes
,Yes
"   Good morning, did you pay the bill for restaurant? 🙈   ",No
,No
"Good night, I feel like you and I would be a dangerous duo 😅 ✨",Yes
"Lowkey, I wish I could teleport to you 🙈",Yes
"Heyy, I’m not gonna lie, I get happy when you text me",Yes
Are you free Sunday? I kinda want to steal you for ramen,Yes
"Btw, what’s your availability for the group this week? 🙂",No
"Hey, I’m making a group plan for Saturday, can you confirm?",No
I was about to sleep but then I saw your message and smiled 😉,Yes
What’s the address for library again?,No
"Heyy, do you know who’s bringing what Sunday? 😅",No
"Honestly, could you update the document when you get a chance? 🥺",No
,Yes
Please don’t forget to bring the ice,No
Are you free tomorrow for a quick call about the deadline?,No
Do   you   wanna   get   food   after   this?   just   you   and   me   🫶,Yes
"Do you know where the team is meeting tomorrow? 🫶

",No
"Heyy, can you grab me the key on the way?",No
Wish you were here this weekend 🫶,Yes
I feel like hanging out with you alone would be nice tonight 🙈,Yes
What’s the address for office again? 🙈,No
"Can you pick up snacks for our friends? 😉

",No
"Lowkey, do you want to join the team for watch a movie after work?

",No
"Heyy, we’re all going to a cozy restaurant next week if you wanna come",No
"   Good night, are you free after class for a quick call about the exam? 😅   ",No
Can you send me the presentation? 😊,No
"Hey,   do   you   have   the   link   for   the   notes?   😊",No
Wish you were here Sunday,Yes
"   Hii, I don’t really want a group thing, I want one-on-one   ",Yes
I’m so tired today 🥺,No
"Heyy, are you free Sunday for a quick call about the notes?",No
"   Honestly, do you want to join our friends for go to a market after work? 😏   ",No
"Good morning, can you remind me about the meeting? 🙈",No
Are you joining the the guys call later?,No
"   I’m at the station, where are you? 😄   ",No
"Ngl, can I steal you from your friends for a bit tonight? 🥺

",Yes
"Hey, are you joining the the girls call this Friday? 🥺",No
"   Ngl, do you want to come over later?   ",Yes
What bus do you usually take? 🙈,No
"   Good night, do you know if the campus is still open? 🤍   ",No
"Hey, did you finish the booking? 😉",No
i wanna see u fr,Yes
Can   you   check   if   my   submission   is   correct?   😊,No
"Yo, I keep replaying our conversation in my head",Yes
"Hii, can you remind me about the assignment?",No
"Hii, the crew chat is so noisy today 😏",No
I’m free Saturday. wanna do something together? 🤍,Yes
"   Honestly, I’m making a group plan for Saturday, can you confirm? 🙈   ",No
"Ngl, I’m not gonna lie, I get happy when you text me 😄",Yes
"Hey, is the assignment due this Friday or later? 🤍",No
"Let’s   coffee   somewhere   chill,   just   us   🙂",Yes
can u remind me,No
"I feel like hanging out with you alone would be nice after work

",Yes
"I’m making a group plan for later, can you confirm?",No
"Yo, are you coming with everyone this Friday?",No
Is the assignment due later or tomorrow? 😌,No
"Honestly, do you have the link for the tutorial?",No
"Good night, I was hoping you’d ask me to hang out Saturday 🫶

",Yes
"Do you want to join the guys for watch a movie later? ✨

",No
"Btw, can you check if my shop is correct? 😅",No
I kinda wanna hold your hand when we walk 🤍,Yes
"   Good night, do you want to come over this weekend?   ",Yes
"Heyy, I’m sick today, can you send me what we covered?",No
"Lowkey, are you joining the our class call after work?",No
"I’m making a group plan for tomorrow, can you confirm? 😌",No
Can you show me how you did that in Excel? 🥺,No
"Lowkey, are you free this weekend? I kinda want to steal you for dessert 😌",Yes
Can you grab me a pen on the way?,No
"Yo, I’m free after work. wanna do something together? 🙈",Yes
"Heyy, are you free later for a quick call about the lunch order?",No
"Hii, can you show me how you did that in Excel?",No
"Honestly, are you free Sunday for a quick call about the lunch order?",No
"Btw,   what’s   the   address   for   restaurant   again?",No
group   call   tn,No
send me the notes pls,No
"Yo, can you show me how you did that in Excel? 😌

",No
Can you help me troubleshoot my laptop? ✨,No
Do you want to come over Sunday? 😄,Yes
"Ngl, I kinda wanna hold your hand when we walk",Yes
"Btw,   come   with   me   to   the   beach   after   work?   just   us",Yes
"Hi, I’m sick today, can you send me what we covered?",No
"Lowkey,   can   you   help   me   move   Sunday?",No
"   Yo, I was about to sleep but then I saw your message and smiled 🥺   ",Yes
"   Btw, do you know who’s bringing what this Friday? 😄   ",No
I’m trying not to flirt but you’re making it hard 😅,Yes
"   I’m running late, can you tell the squad?   ",No
"Btw, is the assignment due tomorrow or Sunday?",No
"Ngl, is the assignment due after work or tomorrow? 😄

",No
Are you free Saturday for a quick call about the lunch order?,No
,Yes
Do you have the link for the booking? 🤍,No
"Btw, I’m running late, can you tell our class? 🫶",No
"Yo,   I’m   running   late,   can   you   tell   the   group?",No
"Lowkey, what time is the presentation tonight?",No
I don’t want to say it too directly but… I like you 🙂,Yes
"   I’m not gonna lie, I get happy when you text me 😉   ",Yes
Can you grab me the key on the way? 😉,No
I keep catching myself smiling at your texts,Yes
"Heyy, I’m at the station, where are you? 😌",No
"Good night, you’re different from most guys I meet, by the way",Yes
"Good morning, do you want to come over this Friday?

",Yes
"Hi, can you send me the deadline? 😏",No
Can you show me how you did that in Excel? 🫶,No
"Heyy, did you pay the bill for event?",No
Can you check if my restaurant is correct? 🥺,No
The girls chat is so noisy today 😊,No
"Hi,   can   you   swap   shifts   with   me   next   week?",No
"   Hi, can I steal you from your friends for a bit tonight?   ",Yes
"Lowkey, what bus do you usually take?",No
What time is the assignment Saturday? 😌,No
"Hi,   could   you   update   the   document   when   you   get   a   chance?   🙈",No
"Hi, I keep replaying our conversation in my head 😏",Yes
"Honestly, thanks for your help earlier",No
Can you send me the schedule?,No
"Good morning, I was thinking about you just now",Yes
"You’re honestly cute, by the way",Yes
"Hii,   do   you   know   who’s   bringing   what   tomorrow?   😅",No
Can   you   swap   shifts   with   me   this   weekend?,No
"Hii, I’m at the station, where are you? 😌",No
"Honestly,   I’m   so   tired   today",No
