Text,Label
if you were here you could help me move furniture,No
omg ok serious question… when are we hanging out just us,Yes
lol if you were here i’d be happier 🙃,Yes
What Time Is The Meeting Tomorrow? Lowkey Wanna Grab Coffee W You After,Yes
     we should hang sometime… just saying   😂,Yes
you’re  funny   lol,No
tbh if you were here you could help me move furniture,No
i like your perspective on this 🥲,No
nah    stop being so attractive    💀,Yes
YOU’RE A GOOD TEAMMATE,No
i like our talks,Yes
STOPPP YOU’RE MAKING ME SMILE...,Yes
omg  don’t make me laugh in public  ,No
you’re   trouble 😅,Yes
"I’M TRYING TO BE CHILL, WORK’S STRESSING ME OUT 😏",No
you’ve got good energy in meetings,No
omg  are you available for a quick call?  ,No
"i’m not flirting, i’m just being nice!",No
What’S Your Eta? 😂,No
 YOU FREE TONIGHT? JUST US 😏  ,Yes
bet Nice Work On The Presentation,No
Ngl I Miss You.. 🙏,Yes
that made my day (thanks for helping),No
ngl   what’s your ETA? ,No
I’M   Trying   To Focus But You’Re Distracting Me,Yes
tbh I’M TRYING TO FOCUS BUT YOU’RE DISTRACTING ME.. 🙂,Yes
"i like you. like, like you..",Yes
we  should hang sometime with everyone,No
i should sleep but i wanna keep talking to you,Yes
idk  DID YOU PAY THE BILL YET? ?!,No
  let me know once it’s fixed   😭,No
Thanks For Jumping On That Quickly 🙃,No
lowkey i keep thinking about you lol,Yes
"bet i like you. like, like you",Yes
   Ngl I Miss You   ✨,Yes
What Time Is The Meeting Tomorrow? ✨,No
You’Re Kinda Becoming My Favourite Notification,Yes
if you were here i’d be happier,Yes
 stop being so attractive ,Yes
i’m fine 😌 just thinking about you a bit,Yes
ngl movie night? just you + me?!,Yes
NGL I MISS YOU?!,Yes
I’M GLAD WE   TALK LIKE THIS 🙃,Yes
can you send me the slides later?,No
lmao you always message at the right time ✅,Yes
highkey    i’m trying to focus but you’re distracting me  ,Yes
your feedback was really helpful?!,No
ngl don’t make me laugh in public,No
lol  I’M Not Flirting… But   ?? 🥲,Yes
 What’S The Status On The Ticket? ,No
   Ngl I Miss You ,Yes
ok  serious   question…  when are we hanging out just us,Yes
YOU’RE DIFFERENT IN A GOOD WAY 💀,Yes
   YOU’RE FUNNY LOL ,No
great   job today,No
